"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"6788","Odisha","Construction of community centers and community halls","WS/MP18142/2025-2026/185341","PURI(DISTRICT COLLECTOR PURI_IDA)","BIBHU PRASAD TARAI","JAGATSINGHPUR(SC)","28-Aug-2026","BDONIMAPADA MISCAC","Payment Success","7074"
"6789","Odisha","Construction of community centers and community halls","WS/MP18142/2025-2026/217276","PURI(DISTRICT COLLECTOR PURI_IDA)","BIBHU PRASAD TARAI","JAGATSINGHPUR(SC)","25-Jun-2026","BDONIMAPADA MISCAC","Payment Success","211"
"6790","Odisha","Construction of community centers and community halls","WS/MP18142/2025-2026/217276","PURI(DISTRICT COLLECTOR PURI_IDA)","BIBHU PRASAD TARAI","JAGATSINGHPUR(SC)","25-Jun-2026","BDONIMAPADA MISCAC","Payment Success","300"
"6791","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18111/2026-2027/269014","AKOLA(DISTRICT COLLECTOR AKOLA_IDA)","ANUP SANJAY DHOTRE","AKOLA","18-Jun-2026","SACHIV SARPANCH VISHESH NIDHI GRAMPANCHAYAT KURANKHED","Payment Success","150000"
"6792","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18111/2026-2027/269014","AKOLA(DISTRICT COLLECTOR AKOLA_IDA)","ANUP SANJAY DHOTRE","AKOLA","23-Jun-2026","SACHIV SARPANCH VISHESH NIDHI GRAMPANCHAYAT KURANKHED","Payment Success","144791"
"6793","Odisha","Construction of additional rooms and halls in the existing public and community building","WS/MP18141/2025-2026/250782","DHENKANAL(DISTRICT COLLECTOR DHENKANAL_IDA)","RUDRA NARAYAN PANY","DHENKANAL","30-May-2026","AVISHKA ENTERPRISES","Payment Success","317719"
"6794","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18324/2025-2026/254245","AMRELI(DISTRICT COLLECTOR AMRELI_IDA)","BHARATBHAI MANUBHAI SUTARIYA","AMRELI","11-Jun-2026","DHUNDHAVANA GRAM PANCHAYAT","Payment Success","250000"
"6795","Telangana","Construction of community centers and community halls","WS/MP18338/2025-2026/220045","YADADRI BHUVANAGIRI(DISTRICT COLLECTOR YADADRI BHUVANAGIRI_IDA)","CHAMALA KIRAN KUMAR REDDY","BHONGIR","30-May-2026","G JOSEPH","Payment Success","498908"
"6796","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP529/2025-2026/199544","Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA)","Maddila Gurumoorthy","TIRUPATI(SC)","08-Jul-2026","Mekapilla Rajesh","Payment Success","470775"
"6797","Andhra Pradesh","Renovation of ponds and lakes","WS/MP18351/2025-2026/158792","KURNOOL(DISTRICT COLLECTOR KURNOOL_IDA)","DR BYREDDY SHABARI","NANDYAL","06-Jul-2026","JANARDHANA REDDY BOBALI","Payment Success","499988"
"6798","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP692/2026-2027/183477","PUNE(DISTRICT COLLECTOR PUNE_IDA)","Smt Supriya Sadanand Sule","BARAMATI","23-Jun-2026","jay khanderiya majur sahakari sanstha ltd","Payment Success","981670"
"6799","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP692/2026-2027/183473","PUNE(DISTRICT COLLECTOR PUNE_IDA)","Smt Supriya Sadanand Sule","BARAMATI","20-Jul-2026","jay khanderiya majur sahakari sanstha ltd","Payment Success","499596"
"6800","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP468/2025-2026/235775","JHANSI(DISTRICT MAGISTRAE JHANSI_IDA)","Anurag Sharma","JHANSI","22-Jul-2026","Jai Mahakal Trders","Payment Success","374220"
"6801","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP468/2026-2027/260340","JHANSI(DISTRICT MAGISTRAE JHANSI_IDA)","Anurag Sharma","JHANSI","22-Jul-2026","Jai Mahakal Trders","Payment Success","374220"
"6802","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP468/2025-2026/235774","JHANSI(DISTRICT MAGISTRAE JHANSI_IDA)","Anurag Sharma","JHANSI","22-Jul-2026","Jai Mahakal Trders","Payment Success","374183"
"6803","Gujarat","Construction of buildings for community cultural activities","WS/MP584/2025-2026/216396","KACHCHH(DISTRICT COLLECTOR KUTCH_IDA)","Vinod Chavda","KACHCHH(SC)","18-Jun-2026","SHREE DADOR JUTH GRAM PANCHAYAT","Payment Success","350000"
"6804","Uttarakhand","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP478/2025-2026/154206","TEHRI GARHWAL(DISTRICT MAGISTRATE TEHRI GARHWAL_IDA)","Mala Rajya Laxmi Shah","TEHRI GARHWAL","14-Aug-2026","jairam","Payment Success","11844"
"6805","Uttarakhand","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP478/2025-2026/154206","TEHRI GARHWAL(DISTRICT MAGISTRATE TEHRI GARHWAL_IDA)","Mala Rajya Laxmi Shah","TEHRI GARHWAL","14-Aug-2026","VIRENDRA SINGH","Payment Success","11844"
"6806","Uttarakhand","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP478/2025-2026/154206","TEHRI GARHWAL(DISTRICT MAGISTRATE TEHRI GARHWAL_IDA)","Mala Rajya Laxmi Shah","TEHRI GARHWAL","14-Aug-2026","MURTI DEVI","Payment Success","11844"
"6807","Uttarakhand","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP478/2025-2026/154206","TEHRI GARHWAL(DISTRICT MAGISTRATE TEHRI GARHWAL_IDA)","Mala Rajya Laxmi Shah","TEHRI GARHWAL","14-Aug-2026","BHAWAN SINGH","Payment Success","17876"
"6808","Uttarakhand","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP478/2025-2026/154206","TEHRI GARHWAL(DISTRICT MAGISTRATE TEHRI GARHWAL_IDA)","Mala Rajya Laxmi Shah","TEHRI GARHWAL","14-Aug-2026","ARVIND SINGH","Payment Success","11844"
"6809","Uttarakhand","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP478/2025-2026/154206","TEHRI GARHWAL(DISTRICT MAGISTRATE TEHRI GARHWAL_IDA)","Mala Rajya Laxmi Shah","TEHRI GARHWAL","14-Aug-2026","BHADAR SINGH","Payment Success","5040"
"6810","Uttarakhand","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP478/2025-2026/154206","TEHRI GARHWAL(DISTRICT MAGISTRATE TEHRI GARHWAL_IDA)","Mala Rajya Laxmi Shah","TEHRI GARHWAL","14-Aug-2026","VINEETA DEVI","Payment Success","7812"
"6811","Chhattisgarh","Construction of community centers and community halls","WS/MP428/2026-2027/275106","Kabeerdham(DISTRICT COLLECTOR KABIRDHAM)","Santosh Pandey","RAJNANDGAON","24-Jul-2026","SARPANCH GRAM PANCHAYAT PANEKA","Payment Success","150000"
"6812","Chhattisgarh","Construction of artificial reef","WS/MP428/2026-2027/275100","Kabeerdham(DISTRICT COLLECTOR KABIRDHAM)","Santosh Pandey","RAJNANDGAON","25-Jun-2026","SARPANCH GRAM PANCHAYAT LAKHANPURKALA","Payment Success","100000"
"6813","Chhattisgarh","Construction of rooms and halls in school and colleges","WS/MP428/2026-2027/275103","Kabeerdham(DISTRICT COLLECTOR KABIRDHAM)","Santosh Pandey","RAJNANDGAON","15-Jun-2026","SARPANCH GRAM PANCHAYAT LAKHANPURKALA","Payment Success","250000"
"6814","Bihar","Street lights","WS/MP18041/2025-2026/235231","KATIHAR(DISTRICT PLANNING OFFICER KATIHAR_IDA)","RAJESH RANJAN ALIAS PAPPU YADAV","PURNEA","04-Jul-2026","JYOTI TRADERS","Payment Success","837600"
"6815","Bihar","Street lights","WS/MP18041/2025-2026/234215","KATIHAR(DISTRICT PLANNING OFFICER KATIHAR_IDA)","RAJESH RANJAN ALIAS PAPPU YADAV","PURNEA","04-Jul-2026","JYOTI TRADERS","Payment Success","837600"
"6816","Bihar","Street lights","WS/MP18041/2025-2026/235225","KATIHAR(DISTRICT PLANNING OFFICER KATIHAR_IDA)","RAJESH RANJAN ALIAS PAPPU YADAV","PURNEA","04-Jul-2026","JYOTI TRADERS","Payment Success","837600"
"6817","Bihar","Street lights","WS/MP18041/2025-2026/235230","KATIHAR(DISTRICT PLANNING OFFICER KATIHAR_IDA)","RAJESH RANJAN ALIAS PAPPU YADAV","PURNEA","04-Jul-2026","JYOTI TRADERS","Payment Success","837600"
"6818","Bihar","Street lights","WS/MP18041/2025-2026/235229","KATIHAR(DISTRICT PLANNING OFFICER KATIHAR_IDA)","RAJESH RANJAN ALIAS PAPPU YADAV","PURNEA","13-Jun-2026","JYOTI TRADERS","Payment Success","837600"
"6819","Bihar","Street lights","WS/MP18041/2025-2026/235233","KATIHAR(DISTRICT PLANNING OFFICER KATIHAR_IDA)","RAJESH RANJAN ALIAS PAPPU YADAV","PURNEA","13-Jun-2026","JYOTI TRADERS","Payment Success","837600"
"6820","Bihar","Street lights","WS/MP18041/2025-2026/235234","KATIHAR(DISTRICT PLANNING OFFICER KATIHAR_IDA)","RAJESH RANJAN ALIAS PAPPU YADAV","PURNEA","13-Jun-2026","JYOTI TRADERS","Payment Success","837600"
"6821","Bihar","Street lights","WS/MP18041/2025-2026/235235","KATIHAR(DISTRICT PLANNING OFFICER KATIHAR_IDA)","RAJESH RANJAN ALIAS PAPPU YADAV","PURNEA","13-Jun-2026","JYOTI TRADERS","Payment Success","837600"
"6822","Bihar","Street lights","WS/MP18041/2025-2026/235236","KATIHAR(DISTRICT PLANNING OFFICER KATIHAR_IDA)","RAJESH RANJAN ALIAS PAPPU YADAV","PURNEA","13-Jun-2026","JYOTI TRADERS","Payment Success","837600"
"6823","Bihar","Street lights","WS/MP18041/2025-2026/235223","KATIHAR(DISTRICT PLANNING OFFICER KATIHAR_IDA)","RAJESH RANJAN ALIAS PAPPU YADAV","PURNEA","13-Jun-2026","JYOTI TRADERS","Payment Success","837600"
"6824","Bihar","Street lights","WS/MP18041/2025-2026/235227","KATIHAR(DISTRICT PLANNING OFFICER KATIHAR_IDA)","RAJESH RANJAN ALIAS PAPPU YADAV","PURNEA","13-Jun-2026","JYOTI TRADERS","Payment Success","837600"
"6825","Bihar","Street lights","WS/MP18041/2025-2026/234213","KATIHAR(DISTRICT PLANNING OFFICER KATIHAR_IDA)","RAJESH RANJAN ALIAS PAPPU YADAV","PURNEA","13-Jun-2026","JYOTI TRADERS","Payment Success","837600"
"6826","Bihar","Street lights","WS/MP18041/2025-2026/235226","KATIHAR(DISTRICT PLANNING OFFICER KATIHAR_IDA)","RAJESH RANJAN ALIAS PAPPU YADAV","PURNEA","13-Jun-2026","JYOTI TRADERS","Payment Success","837600"
"6827","Bihar","Street lights","WS/MP18041/2025-2026/235232","KATIHAR(DISTRICT PLANNING OFFICER KATIHAR_IDA)","RAJESH RANJAN ALIAS PAPPU YADAV","PURNEA","13-Jun-2026","JYOTI TRADERS","Payment Success","837600"
"6828","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18116/2025-2026/240280","THANE(DISTRICT COLLECTOR THANE_IDA)","BALYA MAMA SURESH GOPINATH MHATRE","BHIWANDI","02-Jul-2026","Rahul Ashok Mhatre","Payment Success","1000000"
"6829","Gujarat","Construction of buildings for community cultural activities","WS/MP584/2025-2026/217084","KACHCHH(DISTRICT COLLECTOR KUTCH_IDA)","Vinod Chavda","KACHCHH(SC)","10-Jun-2026","Lakhapar Juth Gram Panchayat","Payment Success","400000"
"6830","Andhra Pradesh","Construction of rainwater harvesting structures","WS/MP526/2025-2026/193018","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Y S Avinash Reddy","KADAPA","29-May-2026","KONGANAPALLI RAVI SANKAR BABU","Payment Success","495905"
"6831","Andhra Pradesh","Construction of common work sheds/ common covered sitting area","WS/MP526/2026-2027/256074","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Y S Avinash Reddy","KADAPA","29-Aug-2026","KONGANAPALLI RAVI SANKAR BABU","Payment Success","497967"
"6832","Telangana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18389/2026-2027/237044","WARANGAL(District Collector Warangal_IDA)","KADIYAM KAVYA","WARANGEL(SC)","29-May-2026","GUGULOTH RAMESH BABU","Payment Success","499889"
"6833","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP574/2026-2027/277144","PATAN(DISTRICT COLLECTOR PATAN_IDA)","Bharatsinhji Shankarji Dabhi","PATAN","24-Jun-2026","Bhalana Gram Panchayat","Payment Success","299683"
"6834","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP574/2026-2027/276483","PATAN(DISTRICT COLLECTOR PATAN_IDA)","Bharatsinhji Shankarji Dabhi","PATAN","18-Jun-2026","Boratvada Gram Panchayt","Payment Success","399553"
"6835","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP574/2026-2027/277145","PATAN(DISTRICT COLLECTOR PATAN_IDA)","Bharatsinhji Shankarji Dabhi","PATAN","18-Jun-2026","Kureja Gram Panchayat","Payment Success","299343"
"6836","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP574/2026-2027/277148","PATAN(DISTRICT COLLECTOR PATAN_IDA)","Bharatsinhji Shankarji Dabhi","PATAN","18-Jun-2026","Malsund Gram Panchayat","Payment Success","299630"
"6837","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP574/2026-2027/277147","PATAN(DISTRICT COLLECTOR PATAN_IDA)","Bharatsinhji Shankarji Dabhi","PATAN","18-Jun-2026","Vansa Gram Panchayat","Payment Success","299869"
"6838","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP574/2026-2027/277146","PATAN(DISTRICT COLLECTOR PATAN_IDA)","Bharatsinhji Shankarji Dabhi","PATAN","18-Jun-2026","Piluvada Gram Panchayat","Payment Success","299756"
"6839","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP574/2026-2027/276482","PATAN(DISTRICT COLLECTOR PATAN_IDA)","Bharatsinhji Shankarji Dabhi","PATAN","19-Jun-2026","Sankra Gram Panchayat","Payment Success","299869"
"6840","Gujarat","Construction of common work sheds/ common covered sitting area","WS/MP574/2026-2027/288273","PATAN(DISTRICT COLLECTOR PATAN_IDA)","Bharatsinhji Shankarji Dabhi","PATAN","29-Aug-2026","Sankra Gram Panchayat","Payment Success","499135"
"6841","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP743/2025-2026/170867","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Ganesan Selvam","KANCHEEPURAM(SC)","19-Jun-2026","V PUGALENDHI","Payment Success","650000"
"6842","Tamil Nadu","Installing community drinking water plants","WS/MP743/2026-2027/230541","CHENGALPATTU(District Collector Chengalpattu_IDA)","Ganesan Selvam","KANCHEEPURAM(SC)","29-May-2026","R Kottishwarn","Payment Success","1500000"
"6843","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP870/2025-2026/200562","VELLORE(DISTRICT COLLECTOR VELLORE_IDA)","D M Kathir Anand","VELLORE","02-Sep-2026","JMD Promoters","Payment Success","887884"
"6844","Tamil Nadu","Construction of public toilets and bathrooms","WS/MP870/2026-2027/260324","VELLORE(DISTRICT COLLECTOR VELLORE_IDA)","D M Kathir Anand","VELLORE","19-Jun-2026","JMD Promoters","Payment Success","957905"
"6845","Tamil Nadu","Construction of public toilets and bathrooms","WS/MP870/2026-2027/260323","VELLORE(DISTRICT COLLECTOR VELLORE_IDA)","D M Kathir Anand","VELLORE","17-Jun-2026","JMD Promoters","Payment Success","884466"
"6846","Tamil Nadu","Construction of public toilets and bathrooms","WS/MP870/2026-2027/260322","VELLORE(DISTRICT COLLECTOR VELLORE_IDA)","D M Kathir Anand","VELLORE","15-Jun-2026","JMD Promoters","Payment Success","884466"
"6847","Rajasthan","Construction of community centers and community halls","WS/MP18169/2026-2027/255272","RAJSAMAND(DISTRICT COLLECTOR RAJSAMAND_IDA)","MAHIMA KUMARI MEWAR","RAJSAMAND","28-Jul-2026","SHRI HARI CONSTRUCTION","Payment Success","444905"
"6848","Rajasthan","Construction of community centers and community halls","WS/MP18169/2026-2027/255272","RAJSAMAND(DISTRICT COLLECTOR RAJSAMAND_IDA)","MAHIMA KUMARI MEWAR","RAJSAMAND","18-Jun-2026","SHRI HARI CONSTRUCTION","Payment Success","555890"
"6849","Rajasthan","Purchase of smart boards, visual display units and projectors","WS/MP18160/2025-2026/224292","JAISALMER(DISTRICT COLLECTOR JAISLAMER_IDA)","UMMEDA RAM BENIWAL","BARMER","30-May-2026","BHAGWATI ENTERPRISES","Payment Success","298000"
"6850","Andhra Pradesh","Construction of bus-sheds or bus-stops","WS/MP522/2025-2026/194497","SRIKAKULAM(District Collector Srikakulam_IDA)","Kinjarapu Ram Mohan Naidu","SRIKAKULAM","20-Jun-2026","Chairman Village Development Committee Mathala","Payment Success","512727"
"6851","Tamil Nadu","Construction of rooms and halls in school and colleges","WS/MP18174/2026-2027/221510","COIMBATORE(DISTRICT COLLECTOR COIMBATORE_IDA)","GANAPATHY RAJKUMAR P","COIMBATORE","29-May-2026","BALACHANDRAN R","Payment Success","1979029"
"6852","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18055/2025-2026/180010","PANCH MAHALS(DISTRICT COLLECTOR PANCHMAHALS_IDA)","RAJPALSINH MAHENDRASINH JADAV","PANCHMAHAL","15-Jun-2026","Rinchvani Gram Panchayat","Payment Success","200000"
"6853","Rajasthan","Construction of buildings for community cultural activities","WS/MP18169/2026-2027/182703","Beawar(DISTRICT COLLECTOR Beawar_IDA)","MAHIMA KUMARI MEWAR","RAJSAMAND","30-Jun-2026","PURANMAL AND COMPANY","Payment Success","744947"
"6854","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18200/2025-2026/259112","RAE BARELI(DISTRICT MAGISTRATE RAE BARELI_IDA)","KISHORI LAL","AMETHI","08-Jul-2026","RAM MILAN","Payment Success","714505"
"6855","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18200/2025-2026/259113","RAE BARELI(DISTRICT MAGISTRATE RAE BARELI_IDA)","KISHORI LAL","AMETHI","08-Jul-2026","RAM MILAN","Payment Success","423359"
"6856","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18200/2025-2026/259114","RAE BARELI(DISTRICT MAGISTRATE RAE BARELI_IDA)","KISHORI LAL","AMETHI","08-Jul-2026","RAM MILAN","Payment Success","600215"
"6857","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18200/2025-2026/259110","RAE BARELI(DISTRICT MAGISTRATE RAE BARELI_IDA)","KISHORI LAL","AMETHI","08-Jul-2026","RAM MILAN","Payment Success","531696"
"6858","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18200/2025-2026/259117","RAE BARELI(DISTRICT MAGISTRATE RAE BARELI_IDA)","KISHORI LAL","AMETHI","08-Jul-2026","RAM MILAN","Payment Success","924623"
"6859","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18200/2025-2026/259118","RAE BARELI(DISTRICT MAGISTRATE RAE BARELI_IDA)","KISHORI LAL","AMETHI","13-Jul-2026","RAM MILAN","Payment Success","796671"
"6860","Gujarat","Construction of footpaths and pedestrian ways","WS/MP18055/2025-2026/183171","PANCH MAHALS(DISTRICT COLLECTOR PANCHMAHALS_IDA)","RAJPALSINH MAHENDRASINH JADAV","PANCHMAHAL","06-Jul-2026","SARPANCH GRAM PANCHAYAT RAMPURA","Payment Success","200000"
"6861","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18345/2025-2026/216810","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","AKHILESH YADAV","KANNAUJ","30-May-2026","shree Kanha Ji","Payment Success","502687"
